title,img_address,img_no
Lautaro Martinez deals rivals Tottenham and Arsenal a major transfer blow as the in-demand striker's agent insists 'he doesn't want to leave Inter Milan' despite Spurs agreeing a £60m deal,https://i.dailymail.co.uk/1s/2021/08/13/07/46629869-0-image-m-41_1628835172644.jpg,./13-8-2021/top.jpg
Manchester United 'willing to loan out £37m forward Amad Diallo' this summer to allow him to get regular first-team football following the arrival of £73m signing Jadon Sancho,https://i.dailymail.co.uk/1s/2021/08/13/00/46621073-0-image-m-126_1628811891629.jpg,./13-8-20210.jpg
"First Messi, now Ronaldo? PSG are 'plotting an audacious move to bring the world's best two players together to play alongside Neymar in a dream attacking line-up... but only IF Kylian Mbappe departs for Real Madrid'",https://i.dailymail.co.uk/1s/2021/08/13/00/46620697-0-image-m-76_1628810590545.jpg,./13-8-20211.jpg
"Tammy Abraham is still 'not convinced about joining Roma in a £34m deal despite being guaranteed the No 9 shirt, regular playing time AND a £4m salary, with the Chelsea man keen on Arsenal move instead - as Mourinho makes Alexandre Lacazette his plan B' ",https://i.dailymail.co.uk/1s/2021/08/12/22/46618063-0-image-m-49_1628804682351.jpg,./13-8-20212.jpg
West Brom set to restore England goalkeeper Sam Johnstone to starting XI as Baggies bid to stop star from leaving the Hawthorns for nothing next summer after he attracted interest from Premier League clubs,https://i.dailymail.co.uk/1s/2021/08/12/22/46612891-0-image-m-13_1628804024835.jpg,./13-8-20213.jpg
Luk who's back! Chelsea reunite with Romelu Lukaku for £98m - seven years after he left the club - as Thomas Tuchel eyes tilt at Premier League title with the ex-Inter Milan No 9 leading his attack,https://i.dailymail.co.uk/1s/2021/08/09/08/46456135-0-image-m-10_1628495250661.jpg,./13-8-20214.jpg
Graham Potter insists star midfielder Yves Bissouma is 'happy' and 'wants to play' at Brighton despite interest from Tottenham and Liverpool ,https://i.dailymail.co.uk/1s/2021/08/12/17/46603561-0-image-m-7_1628784669237.jpg,./13-8-20215.jpg
"Romelu Lukaku 'will NOT feature in Chelsea's first match of the season against Crystal Palace due to technical details', with the Belgian 'unlikely' to complete £98m transfer before the clash",https://i.dailymail.co.uk/1s/2021/08/12/15/46602865-0-image-m-113_1628779679895.jpg,./13-8-20216.jpg
REVEALED: Manchester City and Tottenham hold talks over a £120m transfer for Harry Kane with belief growing that a deal WILL be struck after the two sides have met in the Premier League this weekend,https://i.dailymail.co.uk/1s/2021/08/12/15/46602739-0-image-m-65_1628779088271.jpg,./13-8-20217.jpg
"Manchester City should have signed Harry Kane and NOT Jack Grealish, claims Liverpool legend John Barnes as he insists the former Villa star 'doesn't improve' Pep Guardiola's champions",https://i.dailymail.co.uk/1s/2021/08/12/15/46602911-0-image-m-37_1628779402315.jpg,./13-8-20218.jpg
Newcastle hold positive talks with Joe Willock about £22m move from Arsenal and a deal should be agreed TODAY... with Magpies likely to land the midfielder following his superb loan spell last season ,https://i.dailymail.co.uk/1s/2021/08/12/15/46444489-0-image-m-6_1628777558881.jpg,./13-8-20219.jpg
"Gary Neville insists Harry Kane 'must have felt badly wronged' by Tottenham not to report for training while Roy Keane rubbishes 'gentleman's agreement' and says 'if Man City really want him, let them do the deal' ",https://i.dailymail.co.uk/1s/2021/08/12/14/46601015-0-image-m-40_1628776521699.jpg,./13-8-202110.jpg
Leicester complete Jannik Vestergaard deal as Southampton boss Ralph Hasenhuttl confirms defender will join subject to a medical... but he is already training with the Foxes to be in contention to face Wolves this weekend,https://i.dailymail.co.uk/1s/2021/08/12/14/46599079-0-image-m-84_1628773950890.jpg,./13-8-202111.jpg
"Jurgen Klopp 'wouldn't sign Romelu Lukaku in a MILLION YEARS', claims Gary Neville... as Jamie Carragher insists the £98m striker STILL has something to prove at Chelsea after failing at Man United",https://i.dailymail.co.uk/1s/2021/08/12/14/46598805-0-image-m-84_1628773883812.jpg,./13-8-202112.jpg
"Wantaway Spurs striker Harry Kane can train TODAY if he provides a negative Covid PCR test, after spending the week in isolation following his late return from the Bahamas",https://i.dailymail.co.uk/1s/2021/08/12/12/46595167-0-image-m-71_1628766502701.jpg,./13-8-202113.jpg
Jurgen Klopp says Liverpool 'DON'T want more players' because he has complete faith in his current squad... as he insists it 'makes NO sense to spend a lot of money' before the window closes,https://i.dailymail.co.uk/1s/2021/08/12/10/46592463-0-image-m-40_1628761678777.jpg,./13-8-202114.jpg
Chelsea are 'yet to bid for Sevilla's £68m-rated star Jules Kounde despite talks over the centre back'... but LaLiga club WILL sell for the right price,https://i.dailymail.co.uk/1s/2021/08/12/08/46587985-0-image-m-13_1628752008408.jpg,./13-8-202115.jpg
'He's only missing the French title': Jose Fonte jokes he is trying to bring Cristiano Ronaldo to LILLE to battle Lionel Messi for the Ligue 1 trophy... while questioning financial fair play ruling and PSG spending 'like there's no law',https://i.dailymail.co.uk/1s/2021/08/12/07/46586445-0-image-m-15_1628748010353.jpg,./13-8-202116.jpg
"Romelu Lukaku has been lured back to Chelsea to sharpen up Thomas Tuchel's blunt attack... after a lack of cutting edge in the UEFA Super Cup, it is not hard to see why the Blues have spent £98m to re-sign him",https://i.dailymail.co.uk/1s/2021/08/11/22/46573097-0-image-m-24_1628717206745.jpg,./13-8-202117.jpg
"Will Lionel Messi play down the middle or out wide? And will Kylian Mbappe or Angel Di Maria now be DROPPED? Mauricio Pochettino has a welcome selection headache this season after the arrival of several superstars... so, is this how PSG will line up?",https://i.dailymail.co.uk/1s/2021/08/11/12/46550995-0-image-m-48_1628681917909.jpg,./13-8-202118.jpg
"Romelu Lukaku touches down in London ahead of HUGE £98m return to Chelsea, with an announcement expected in the coming hours",https://i.dailymail.co.uk/1s/2021/08/11/19/46567915-0-image-m-9_1628706986539.jpg,./13-8-202119.jpg
Chelsea 'accept Roma's £34m bid for Tammy Abraham but insert a BUY-BACK clause for the striker' as Jose Mourinho looks to beat Arsenal to the England star after Edin Dzeko jetted out for his Inter Milan medical,https://i.dailymail.co.uk/1s/2021/08/11/17/46563205-0-image-m-25_1628698486909.jpg,./13-8-202120.jpg
